"","otu.H","otu.N1","otu.N2","S.obs","S.chao1","se.chao1","S.ACE","se.ACE","Plot","Fire","Burn","Infection","NMDS1","NMDS2","NMDS3"
"16SPRE05802",6.675780879,792.9664232,295.3907882,2201,3624.714286,119.4120112,3775.709851,36.70152288,"Plot58","Prefire","Unburned","Uninfected",-0.109692881272069,0.0759612575673177,0.0162504804515321
"16SPRE05803",6.710155774,820.6984729,286.8676788,2260,3800.839695,127.2794461,3970.07,38.01719962,"Plot58","Prefire","Unburned","Uninfected",-0.107532504559536,0.0559876747175536,-0.00132949381017455
"16SPRE05804",6.624985637,753.6933875,301.7909234,2023,3063.345745,93.8539694,3180.232485,31.79779809,"Plot58","Prefire","Unburned","Uninfected",-0.122085759548457,0.0894450550555062,-0.0290137545333965
"16SPRE05805",6.284976084,536.4514609,77.40406226,1957,3191.61194,111.7072845,3251.026393,32.84031597,"Plot58","Prefire","Unburned","Uninfected",-0.116506796631521,0.0587759448379365,-0.15628868257016
"16SPRE05806",6.665225987,784.6407634,284.391534,2242,3799.398964,129.1391876,3925.986477,38.48330177,"Plot58","Prefire","Unburned","Uninfected",-0.0848085738552951,0.0749378147425782,0.0147349000793993
"16SPRE05807",6.521022017,679.2722587,244.2401184,2018,3359.592262,119.4520117,3401.483742,34.03364901,"Plot58","Prefire","Unburned","Uninfected",-0.108090685708763,0.113742281622197,-0.0153706761779097
"16SPRE05808",6.58917928,727.1838108,258.6106067,2086,3304.171429,105.8042522,3477.541999,34.39959249,"Plot58","Prefire","Unburned","Uninfected",-0.120373542630455,0.0920689541868064,0.0427679124285242
"16SPRE05809",6.731989299,838.8142599,267.3040921,2270,3790.319261,127.3550352,3800.517284,35.70260989,"Plot58","Prefire","Unburned","Uninfected",-0.162430297275602,0.0822834387655619,-0.0790389773801909
"16SPRE05810",6.764110625,866.1954928,293.347733,2376,4025.47981,131.664144,4260.430743,40.34590427,"Plot58","Prefire","Unburned","Uninfected",-0.109692586434319,0.0431706878288974,-0.0017441814104129
"16SPRE05811",6.70855371,819.3847138,334.1760356,2129,3213.615,95.24987921,3345.815745,33.04883987,"Plot58","Prefire","Unburned","Uninfected",-0.141978110279495,0.0752972855968449,-0.0212207420604821
"16SPRE05812",6.746250659,850.8626002,290.9037707,2353,4084.578947,139.408184,4192.922427,39.61089212,"Plot58","Prefire","Unburned","Uninfected",-0.108195360304158,0.0832028645003003,0.0323826976072739
"16SPRE60101",6.607447874,740.5905248,293.1173182,2039,3137.780488,98.62877858,3222.226163,32.56124597,"Plot601","Prefire","Burned","Infected",-0.109235277010448,-0.102265463344632,0.0662811789216692
"16SPRE60102",5.974681212,393.3426882,128.3541941,1425,2132.909091,77.67188796,2217.183207,26.46088312,"Plot601","Prefire","Burned","Infected",-0.203895676878647,-0.0751198891790296,-0.347987802306968
"16SPRE60103",6.783780184,883.4018417,345.1771063,2301,3782.62963,122.0968669,3893.806162,37.10854604,"Plot601","Prefire","Burned","Infected",-0.120876923731095,-0.0677554317387762,0.0443768188617666
"16SPRE60104",6.651852823,774.2174851,283.3822158,2156,3316.653012,99.45709832,3525.826763,35.16467177,"Plot601","Prefire","Burned","Infected",-0.116240706429074,-0.0899984599855316,0.049321036144347
"16SPRE60105",6.735743227,841.9690257,336.3092677,2198,3472.015152,108.7613297,3596.68457,35.26757779,"Plot601","Prefire","Burned","Infected",-0.102537672798518,-0.0748362554225308,0.0594601563959156
"16SPRE60106",6.870298048,963.2356132,394.9489349,2395,3994.233173,128.8606489,4112.847916,37.99457918,"Plot601","Prefire","Burned","Infected",-0.110927972642362,-0.0417645990853101,0.0609617809156237
"16SPRE60107",6.555275877,702.9430486,266.4624274,2035,3372.561404,118.486751,3450.952818,34.79817532,"Plot601","Prefire","Burned","Infected",-0.121062272430651,-0.121286166668987,0.0586773113384137
"16SPRE60108",6.589679028,727.5473103,290.6284434,1947,2973.383929,96.06920692,2984.717816,30.18361278,"Plot601","Prefire","Burned","Infected",-0.138193350190529,-0.130752310063151,0.0338986604723729
"16SPRE60109",6.494474388,661.4764536,250.2758083,1919,2989.363636,99.93598833,3020.288279,31.60445809,"Plot601","Prefire","Burned","Infected",-0.164526985044067,-0.165119105529854,0.0289975252642232
"16SPRE60110",6.704996646,816.4752882,349.1172206,2070,3307.789017,110.8082752,3346.346471,33.04953788,"Plot601","Prefire","Burned","Infected",-0.121017634722206,-0.112891276247407,0.0279245477689862
"16SPRE60111",6.732851465,839.537769,312.4454952,2265,3851.163588,131.8677792,3952.269649,38.2698024,"Plot601","Prefire","Burned","Infected",-0.104280332566614,-0.0750059068621431,0.0352640695250754
"16SPRE60112",6.7025978,814.5190369,255.895163,2237,3652.631188,117.7387511,3844.665136,36.90940554,"Plot601","Prefire","Burned","Infected",-0.139176885966243,-0.0806300559815858,-0.0138902893310816
"16SPRE60301",6.769039227,870.4751629,302.6952957,2381,4247.839378,149.9637762,4267.500911,39.24155187,"Plot603","Prefire","Burned","Infected",-0.110702243469562,-0.00999127086068099,0.0177960766818025
"16SPRE60302",6.72342276,831.6592155,297.4048814,2312,3871.640288,126.1504522,4095.744968,38.39412971,"Plot603","Prefire","Burned","Infected",-0.105957939828934,-0.00282301553423968,0.0330868411119759
"16SPRE60303",6.714165105,823.9955301,288.4181277,2282,3904.431877,133.2206245,4020.284747,37.80408557,"Plot603","Prefire","Burned","Infected",-0.117338129916848,-0.0279359232718391,-0.0387474406302481
"16SPRE60304",6.698132942,810.8904313,261.7191056,2256,3856.662269,132.8584432,3946.866711,37.76545894,"Plot603","Prefire","Burned","Infected",-0.173027488131799,-0.0364335982896379,-0.058010266840467
"16SPRE60305",6.735457639,841.7286035,228.6875541,2336,3856,123.9034594,3996.382594,37.56978885,"Plot603","Prefire","Burned","Infected",-0.13481331584948,-0.0204834083755495,-0.0155854674973072
"16SPRE60306",6.344335518,569.2590015,176.4967394,1805,2544.125,72.45678646,2656.606901,28.37504256,"Plot603","Prefire","Burned","Infected",-0.0998108824129979,0.0214027527446377,0.091239173635579
"16SPRE60307",6.485930131,655.8487059,198.999563,2077,3679.958702,137.926801,3800.143032,38.04299403,"Plot603","Prefire","Burned","Infected",-0.157407135208747,-0.0846137541549677,-0.0742415190861756
"16SPRE60308",6.702342243,814.3109072,279.0195126,2283,4127.876712,151.2634086,4222.852154,40.02109363,"Plot603","Prefire","Burned","Infected",-0.117591597865062,-0.0204610991599295,0.0152127378039417
"16SPRE60309",6.723638628,831.8387637,298.5200722,2289,3910.825974,133.6237297,3976.117311,38.08280632,"Plot603","Prefire","Burned","Infected",-0.12064133783915,-0.0225591482976467,0.00595581431321919
"16SPRE60310",6.760225122,862.8364177,294.584371,2295,3824.652062,127.0395387,3896.902704,37.18239006,"Plot603","Prefire","Burned","Infected",-0.127311170650941,-0.00547666290434458,0.0317446306109316
"16SPRE60311",6.73519551,841.5079908,249.1918232,2400,4017.721088,127.6941281,4239.748189,40.15194646,"Plot603","Prefire","Burned","Infected",-0.135173210564461,-0.0108387050555566,-0.0339145064923878
"16SPRE60312",6.443232965,628.4352284,266.929658,1550,1824.094276,35.66344807,1839.055023,19.33602149,"Plot603","Prefire","Burned","Infected",-0.141619269189142,-0.00788676866573335,0.0904754919460452
