,id,taxon,Kingdom,Phylum,Class,Order,Family,Genus,Species
Otu8563,Otu8563,k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Myxococcales; f__; g__; s__,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Myxococcales,f__,g__,s__
Otu527,Otu527,k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodospirillales; f__Rhodospirillaceae; g__; s__,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodospirillales,f__Rhodospirillaceae,g__,s__
Otu4886,Otu4886,k__Bacteria; p__TM7; c__SC3; o__; f__; g__; s__,k__Bacteria,p__TM7,c__SC3,o__,f__,g__,s__
Otu8624,Otu8624,k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__; g__; s__,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__,g__,s__
Otu6631,Otu6631,k__Bacteria; p__Planctomycetes; c__Planctomycetia; o__Gemmatales; f__Gemmataceae; g__; s__,k__Bacteria,p__Planctomycetes,c__Planctomycetia,o__Gemmatales,f__Gemmataceae,g__,s__
Otu10909,Otu10909,k__Bacteria; p__Planctomycetes; c__BD7-11; o__; f__; g__; s__,k__Bacteria,p__Planctomycetes,c__BD7-11,o__,f__,g__,s__
Otu6555,Otu6555,k__Bacteria; p__Planctomycetes; c__Planctomycetia; o__Gemmatales; f__Gemmataceae; g__; s__,k__Bacteria,p__Planctomycetes,c__Planctomycetia,o__Gemmatales,f__Gemmataceae,g__,s__
Otu14524,Otu14524,k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__; g__; s__,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rickettsiales,f__,g__,s__
Otu11373,Otu11373,k__Bacteria; p__Armatimonadetes; c__0319-6E2; o__; f__; g__; s__,k__Bacteria,p__Armatimonadetes,c__0319-6E2,o__,f__,g__,s__
Otu3868,Otu3868,k__Bacteria; p__Acidobacteria; c__Solibacteres; o__JH-WHS99; f__; g__; s__,k__Bacteria,p__Acidobacteria,c__Solibacteres,o__JH-WHS99,f__,g__,s__
Otu10650,Otu10650,k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__; f__; g__; s__,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__,f__,g__,s__
Otu12321,Otu12321,k__Bacteria; p__Planctomycetes; c__Planctomycetia; o__Gemmatales; f__Gemmataceae; g__; s__,k__Bacteria,p__Planctomycetes,c__Planctomycetia,o__Gemmatales,f__Gemmataceae,g__,s__
Otu8327,Otu8327,k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__; f__; g__; s__,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__,f__,g__,s__
Otu15695,Otu15695,k__Bacteria; p__TM6; c__SJA-4; o__; f__; g__; s__,k__Bacteria,p__TM6,c__SJA-4,o__,f__,g__,s__
Otu4482,Otu4482,k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__; g__; s__,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__,g__,s__
Otu5169,Otu5169,k__Bacteria; p__Planctomycetes; c__Planctomycetia; o__Planctomycetales; f__Planctomycetaceae; g__Planctomyces; s__,k__Bacteria,p__Planctomycetes,c__Planctomycetia,o__Planctomycetales,f__Planctomycetaceae,g__Planctomyces,s__
Otu12315,Otu12315,k__Bacteria; p__Chloroflexi; c__Anaerolineae; o__SBR1031; f__A4b; g__; s__,k__Bacteria,p__Chloroflexi,c__Anaerolineae,o__SBR1031,f__A4b,g__,s__
Otu6638,Otu6638,k__Bacteria; p__Planctomycetes; c__Phycisphaerae; o__WD2101; f__; g__; s__,k__Bacteria,p__Planctomycetes,c__Phycisphaerae,o__WD2101,f__,g__,s__
Otu1731,Otu1731,k__Bacteria; p__Acidobacteria; c__Acidobacteriia; o__Acidobacteriales; f__Koribacteraceae; g__; s__,k__Bacteria,p__Acidobacteria,c__Acidobacteriia,o__Acidobacteriales,f__Koribacteraceae,g__,s__
Otu3294,Otu3294,k__Bacteria; p__Acidobacteria; c__DA052; o__Ellin6513; f__; g__; s__,k__Bacteria,p__Acidobacteria,c__DA052,o__Ellin6513,f__,g__,s__
Otu1852,Otu1852,k__Bacteria; p__Gemmatimonadetes; c__Gemmatimonadetes,k__Bacteria,p__Gemmatimonadetes,c__Gemmatimonadetes,NA,NA,NA,NA
Otu8799,Otu8799,k__Bacteria; p__Bacteroidetes; c__[Saprospirae]; o__[Saprospirales]; f__Saprospiraceae; g__; s__,k__Bacteria,p__Bacteroidetes,c__[Saprospirae],o__[Saprospirales],f__Saprospiraceae,g__,s__
Otu17120,Otu17120,k__Bacteria; p__Cyanobacteria; c__4C0d-2; o__SM1D11; f__; g__; s__,k__Bacteria,p__Cyanobacteria,c__4C0d-2,o__SM1D11,f__,g__,s__
Otu14679,Otu14679,k__Bacteria; p__OD1; c__SM2F11; o__; f__; g__; s__,k__Bacteria,p__OD1,c__SM2F11,o__,f__,g__,s__
Otu4225,Otu4225,k__Bacteria; p__Planctomycetes; c__Planctomycetia; o__Gemmatales; f__Gemmataceae; g__; s__,k__Bacteria,p__Planctomycetes,c__Planctomycetia,o__Gemmatales,f__Gemmataceae,g__,s__
Otu5958,Otu5958,k__Bacteria; p__OP3; c__koll11; o__; f__; g__; s__,k__Bacteria,p__OP3,c__koll11,o__,f__,g__,s__
Otu3984,Otu3984,k__Bacteria; p__Chloroflexi; c__Anaerolineae; o__SBR1031; f__oc28; g__; s__,k__Bacteria,p__Chloroflexi,c__Anaerolineae,o__SBR1031,f__oc28,g__,s__
Otu18215,Otu18215,k__Bacteria; p__Planctomycetes; c__Phycisphaerae; o__Phycisphaerales; f__; g__; s__,k__Bacteria,p__Planctomycetes,c__Phycisphaerae,o__Phycisphaerales,f__,g__,s__
Otu8368,Otu8368,k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__MIZ46; f__; g__; s__,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__MIZ46,f__,g__,s__
Otu7126,Otu7126,k__Archaea; p__[Parvarchaeota]; c__[Parvarchaea]; o__YLA114; f__; g__; s__,k__Archaea,p__[Parvarchaeota],c__[Parvarchaea],o__YLA114,f__,g__,s__
Otu6404,Otu6404,k__Bacteria; p__Armatimonadetes; c__Armatimonadia; o__Armatimonadales; f__Armatimonadaceae; g__; s__,k__Bacteria,p__Armatimonadetes,c__Armatimonadia,o__Armatimonadales,f__Armatimonadaceae,g__,s__
Otu7390,Otu7390,k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Xanthomonadales; f__Sinobacteraceae; g__; s__,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Xanthomonadales,f__Sinobacteraceae,g__,s__
Otu9251,Otu9251,k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__; f__; g__; s__,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__,f__,g__,s__
Otu5618,Otu5618,k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__; f__; g__; s__,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__,f__,g__,s__
Otu10858,Otu10858,k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Myxococcales; f__Polyangiaceae; g__; s__,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Myxococcales,f__Polyangiaceae,g__,s__
Otu2951,Otu2951,k__Bacteria; p__Planctomycetes; c__Planctomycetia; o__Gemmatales; f__Gemmataceae; g__Gemmata; s__,k__Bacteria,p__Planctomycetes,c__Planctomycetia,o__Gemmatales,f__Gemmataceae,g__Gemmata,s__
Otu11808,Otu11808,k__Bacteria; p__Verrucomicrobia; c__[Pedosphaerae]; o__[Pedosphaerales]; f__Ellin517; g__; s__,k__Bacteria,p__Verrucomicrobia,c__[Pedosphaerae],o__[Pedosphaerales],f__Ellin517,g__,s__
Otu6165,Otu6165,k__Bacteria; p__Chloroflexi; c__Ktedonobacteria; o__Thermogemmatisporales; f__Thermogemmatisporaceae; g__; s__,k__Bacteria,p__Chloroflexi,c__Ktedonobacteria,o__Thermogemmatisporales,f__Thermogemmatisporaceae,g__,s__
Otu5642,Otu5642,k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__IS-44; f__; g__; s__,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__IS-44,f__,g__,s__
Otu5278,Otu5278,k__Bacteria; p__Fibrobacteres; c__Fibrobacteria; o__258ds10; f__; g__; s__,k__Bacteria,p__Fibrobacteres,c__Fibrobacteria,o__258ds10,f__,g__,s__
Otu7393,Otu7393,k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Myxococcales; f__; g__; s__,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Myxococcales,f__,g__,s__
Otu4837,Otu4837,k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Pseudonocardiaceae; g__Saccharopolyspora; s__hirsuta,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,f__Pseudonocardiaceae,g__Saccharopolyspora,s__hirsuta
Otu12121,Otu12121,k__Bacteria; p__Armatimonadetes; c__0319-6E2; o__; f__; g__; s__,k__Bacteria,p__Armatimonadetes,c__0319-6E2,o__,f__,g__,s__
Otu14016,Otu14016,k__Bacteria; p__Actinobacteria; c__Acidimicrobiia; o__Acidimicrobiales; f__; g__; s__,k__Bacteria,p__Actinobacteria,c__Acidimicrobiia,o__Acidimicrobiales,f__,g__,s__
Otu6282,Otu6282,k__Bacteria; p__FBP; c__; o__; f__; g__; s__,k__Bacteria,p__FBP,c__,o__,f__,g__,s__
Otu16225,Otu16225,k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__; g__; s__,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__,g__,s__
Otu5476,Otu5476,k__Bacteria; p__Actinobacteria; c__Acidimicrobiia; o__Acidimicrobiales; f__; g__; s__,k__Bacteria,p__Actinobacteria,c__Acidimicrobiia,o__Acidimicrobiales,f__,g__,s__
Otu2347,Otu2347,k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Syntrophobacterales; f__Syntrophobacteraceae; g__; s__,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Syntrophobacterales,f__Syntrophobacteraceae,g__,s__
Otu4454,Otu4454,k__Bacteria; p__Cyanobacteria; c__ML635J-21; o__; f__; g__; s__,k__Bacteria,p__Cyanobacteria,c__ML635J-21,o__,f__,g__,s__
Otu7699,Otu7699,k__Bacteria; p__Acidobacteria; c__Solibacteres; o__Solibacterales; f__; g__; s__,k__Bacteria,p__Acidobacteria,c__Solibacteres,o__Solibacterales,f__,g__,s__
Otu8711,Otu8711,k__Bacteria; p__Chloroflexi; c__Chloroflexi; o__AKIW781; f__; g__; s__,k__Bacteria,p__Chloroflexi,c__Chloroflexi,o__AKIW781,f__,g__,s__
Otu1692,Otu1692,k__Bacteria; p__Verrucomicrobia; c__[Methylacidiphilae]; o__S-BQ2-57; f__; g__; s__,k__Bacteria,p__Verrucomicrobia,c__[Methylacidiphilae],o__S-BQ2-57,f__,g__,s__
Otu15546,Otu15546,k__Bacteria; p__Armatimonadetes; c__[Fimbriimonadia]; o__[Fimbriimonadales]; f__[Fimbriimonadaceae]; g__Fimbriimonas; s__,k__Bacteria,p__Armatimonadetes,c__[Fimbriimonadia],o__[Fimbriimonadales],f__[Fimbriimonadaceae],g__Fimbriimonas,s__
Otu7724,Otu7724,k__Bacteria; p__Planctomycetes; c__Planctomycetia; o__Gemmatales; f__Gemmataceae; g__; s__,k__Bacteria,p__Planctomycetes,c__Planctomycetia,o__Gemmatales,f__Gemmataceae,g__,s__
Otu9222,Otu9222,k__Bacteria; p__Elusimicrobia; c__Elusimicrobia; o__IIb; f__; g__; s__,k__Bacteria,p__Elusimicrobia,c__Elusimicrobia,o__IIb,f__,g__,s__
Otu9207,Otu9207,k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Myxococcales; f__; g__; s__,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Myxococcales,f__,g__,s__
Otu10361,Otu10361,k__Bacteria; p__Elusimicrobia; c__Elusimicrobia; o__Elusimicrobiales; f__; g__; s__,k__Bacteria,p__Elusimicrobia,c__Elusimicrobia,o__Elusimicrobiales,f__,g__,s__
Otu3678,Otu3678,k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Methylophilales; f__Methylophilaceae; g__; s__,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Methylophilales,f__Methylophilaceae,g__,s__
Otu13358,Otu13358,k__Bacteria; p__Armatimonadetes; c__Chthonomonadetes; o__Chthonomonadales,k__Bacteria,p__Armatimonadetes,c__Chthonomonadetes,o__Chthonomonadales,NA,NA,NA
Otu14944,Otu14944,k__Bacteria; p__Planctomycetes; c__Planctomycetia; o__Gemmatales; f__Gemmataceae; g__; s__,k__Bacteria,p__Planctomycetes,c__Planctomycetia,o__Gemmatales,f__Gemmataceae,g__,s__
Otu15111,Otu15111,k__Bacteria; p__Gemmatimonadetes; c__Gemm-1; o__; f__; g__; s__,k__Bacteria,p__Gemmatimonadetes,c__Gemm-1,o__,f__,g__,s__
Otu4675,Otu4675,k__Bacteria; p__Actinobacteria; c__Thermoleophilia; o__Solirubrobacterales; f__Conexibacteraceae; g__; s__,k__Bacteria,p__Actinobacteria,c__Thermoleophilia,o__Solirubrobacterales,f__Conexibacteraceae,g__,s__
Otu11818,Otu11818,k__Bacteria; p__Proteobacteria; c__TA18; o__PHOS-HD29; f__; g__; s__,k__Bacteria,p__Proteobacteria,c__TA18,o__PHOS-HD29,f__,g__,s__
Otu6628,Otu6628,k__Bacteria; p__Chlorobi; c__OPB56; o__; f__; g__; s__,k__Bacteria,p__Chlorobi,c__OPB56,o__,f__,g__,s__
Otu7113,Otu7113,k__Bacteria; p__Planctomycetes; c__Planctomycetia; o__Pirellulales; f__Pirellulaceae; g__; s__,k__Bacteria,p__Planctomycetes,c__Planctomycetia,o__Pirellulales,f__Pirellulaceae,g__,s__
Otu9141,Otu9141,k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Methylophilales; f__Methylophilaceae; g__; s__,k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Methylophilales,f__Methylophilaceae,g__,s__
Otu13554,Otu13554,k__Bacteria; p__Acidobacteria; c__DA052; o__Ellin6513; f__; g__; s__,k__Bacteria,p__Acidobacteria,c__DA052,o__Ellin6513,f__,g__,s__
Otu16070,Otu16070,k__Bacteria; p__Acidobacteria; c__Acidobacteria-6; o__iii1-15; f__; g__; s__,k__Bacteria,p__Acidobacteria,c__Acidobacteria-6,o__iii1-15,f__,g__,s__
Otu4773,Otu4773,k__Bacteria; p__Actinobacteria; c__MB-A2-108; o__0319-7L14; f__; g__; s__,k__Bacteria,p__Actinobacteria,c__MB-A2-108,o__0319-7L14,f__,g__,s__
Otu6761,Otu6761,k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__MIZ46; f__; g__; s__,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__MIZ46,f__,g__,s__
Otu15693,Otu15693,k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Syntrophobacterales; f__Syntrophobacteraceae; g__; s__,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Syntrophobacterales,f__Syntrophobacteraceae,g__,s__
Otu15575,Otu15575,k__Bacteria; p__Proteobacteria; c__TA18; o__PHOS-HD29; f__; g__; s__,k__Bacteria,p__Proteobacteria,c__TA18,o__PHOS-HD29,f__,g__,s__
Otu8163,Otu8163,k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__; f__; g__; s__,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__,f__,g__,s__
Otu3736,Otu3736,k__Bacteria; p__Verrucomicrobia; c__[Pedosphaerae]; o__[Pedosphaerales]; f__; g__; s__,k__Bacteria,p__Verrucomicrobia,c__[Pedosphaerae],o__[Pedosphaerales],f__,g__,s__
Otu1568,Otu1568,k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Nocardioidaceae; g__Actinopolymorpha; s__,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,f__Nocardioidaceae,g__Actinopolymorpha,s__
Otu2190,Otu2190,k__Bacteria; p__Verrucomicrobia; c__[Spartobacteria]; o__[Chthoniobacterales]; f__[Chthoniobacteraceae]; g__DA101; s__,k__Bacteria,p__Verrucomicrobia,c__[Spartobacteria],o__[Chthoniobacterales],f__[Chthoniobacteraceae],g__DA101,s__
Otu17696,Otu17696,k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__FAC87; f__; g__; s__,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__FAC87,f__,g__,s__
Otu17553,Otu17553,k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Legionellales; f__Legionellaceae; g__; s__,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Legionellales,f__Legionellaceae,g__,s__
Otu5640,Otu5640,k__Bacteria; p__Acidobacteria; c__Acidobacteria-6; o__iii1-15; f__; g__; s__,k__Bacteria,p__Acidobacteria,c__Acidobacteria-6,o__iii1-15,f__,g__,s__
Otu7222,Otu7222,k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__; f__; g__; s__,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__,f__,g__,s__
Otu3632,Otu3632,k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__[Entotheonellales]; f__[Entotheonellaceae]; g__; s__,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__[Entotheonellales],f__[Entotheonellaceae],g__,s__
Otu5451,Otu5451,k__Bacteria; p__TM6; c__SJA-4; o__; f__; g__; s__,k__Bacteria,p__TM6,c__SJA-4,o__,f__,g__,s__
Otu1241,Otu1241,k__Bacteria; p__Acidobacteria; c__DA052; o__Ellin6513; f__; g__; s__,k__Bacteria,p__Acidobacteria,c__DA052,o__Ellin6513,f__,g__,s__
Otu16692,Otu16692,k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Hyphomonadaceae; g__; s__,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodobacterales,f__Hyphomonadaceae,g__,s__
Otu9970,Otu9970,k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Myxococcales; f__; g__; s__,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Myxococcales,f__,g__,s__
Otu7250,Otu7250,k__Bacteria; p__Tenericutes; c__Mollicutes; o__Anaeroplasmatales; f__Anaeroplasmataceae; g__Asteroleplasma; s__,k__Bacteria,p__Tenericutes,c__Mollicutes,o__Anaeroplasmatales,f__Anaeroplasmataceae,g__Asteroleplasma,s__
Otu9157,Otu9157,k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Myxococcales; f__; g__; s__,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Myxococcales,f__,g__,s__
Otu5316,Otu5316,k__Bacteria; p__Chloroflexi; c__C0119; o__; f__; g__; s__,k__Bacteria,p__Chloroflexi,c__C0119,o__,f__,g__,s__
Otu11368,Otu11368,k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Syntrophobacterales; f__Syntrophobacteraceae; g__; s__,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Syntrophobacterales,f__Syntrophobacteraceae,g__,s__
Otu10194,Otu10194,k__Bacteria; p__OP3; c__koll11; o__; f__; g__; s__,k__Bacteria,p__OP3,c__koll11,o__,f__,g__,s__
Otu5375,Otu5375,k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__; g__; s__,k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__,g__,s__
Otu14939,Otu14939,k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Legionellales; f__Coxiellaceae; g__; s__,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Legionellales,f__Coxiellaceae,g__,s__
Otu15138,Otu15138,k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__MIZ46; f__; g__; s__,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__MIZ46,f__,g__,s__
Otu7994,Otu7994,k__Bacteria; p__OP3; c__koll11; o__; f__; g__; s__,k__Bacteria,p__OP3,c__koll11,o__,f__,g__,s__
Otu2859,Otu2859,k__Bacteria; p__Actinobacteria; c__MB-A2-108; o__0319-7L14; f__; g__; s__,k__Bacteria,p__Actinobacteria,c__MB-A2-108,o__0319-7L14,f__,g__,s__
Otu7485,Otu7485,k__Bacteria; p__TM6; c__SJA-4; o__; f__; g__; s__,k__Bacteria,p__TM6,c__SJA-4,o__,f__,g__,s__
Otu17642,Otu17642,k__Bacteria; p__Elusimicrobia; c__Elusimicrobia; o__MVP-88; f__; g__; s__,k__Bacteria,p__Elusimicrobia,c__Elusimicrobia,o__MVP-88,f__,g__,s__
Otu10212,Otu10212,k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Bdellovibrionales; f__Bdellovibrionaceae; g__Bdellovibrio; s__,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Bdellovibrionales,f__Bdellovibrionaceae,g__Bdellovibrio,s__
Otu3228,Otu3228,k__Bacteria; p__Chlamydiae; c__Chlamydiia; o__Chlamydiales; f__Parachlamydiaceae,k__Bacteria,p__Chlamydiae,c__Chlamydiia,o__Chlamydiales,f__Parachlamydiaceae,NA,NA
Otu17423,Otu17423,k__Bacteria; p__Bacteroidetes; c__[Saprospirae]; o__[Saprospirales]; f__Chitinophagaceae; g__; s__,k__Bacteria,p__Bacteroidetes,c__[Saprospirae],o__[Saprospirales],f__Chitinophagaceae,g__,s__
Otu8602,Otu8602,k__Bacteria; p__TM7; c__SC3; o__; f__; g__; s__,k__Bacteria,p__TM7,c__SC3,o__,f__,g__,s__
Otu1755,Otu1755,k__Bacteria; p__Actinobacteria; c__Acidimicrobiia; o__Acidimicrobiales; f__EB1017; g__; s__,k__Bacteria,p__Actinobacteria,c__Acidimicrobiia,o__Acidimicrobiales,f__EB1017,g__,s__
Otu2854,Otu2854,k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodospirillales; f__Acetobacteraceae; g__; s__,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodospirillales,f__Acetobacteraceae,g__,s__
Otu17424,Otu17424,k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__FAC87; f__; g__; s__,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__FAC87,f__,g__,s__
Otu5581,Otu5581,k__Bacteria; p__Planctomycetes; c__Planctomycetia; o__Gemmatales; f__Gemmataceae; g__; s__,k__Bacteria,p__Planctomycetes,c__Planctomycetia,o__Gemmatales,f__Gemmataceae,g__,s__
Otu3359,Otu3359,k__Bacteria; p__Actinobacteria; c__MB-A2-108; o__0319-7L14; f__; g__; s__,k__Bacteria,p__Actinobacteria,c__MB-A2-108,o__0319-7L14,f__,g__,s__
Otu6565,Otu6565,k__Bacteria; p__Chlorobi; c__OPB56; o__; f__; g__; s__,k__Bacteria,p__Chlorobi,c__OPB56,o__,f__,g__,s__
Otu11534,Otu11534,k__Bacteria; p__OP3; c__koll11; o__GIF10; f__kpj58rc; g__; s__,k__Bacteria,p__OP3,c__koll11,o__GIF10,f__kpj58rc,g__,s__
Otu11684,Otu11684,k__Bacteria; p__Chlorobi; c__OPB56; o__; f__; g__; s__,k__Bacteria,p__Chlorobi,c__OPB56,o__,f__,g__,s__
Otu4104,Otu4104,k__Bacteria; p__Planctomycetes; c__Phycisphaerae; o__Phycisphaerales; f__; g__; s__,k__Bacteria,p__Planctomycetes,c__Phycisphaerae,o__Phycisphaerales,f__,g__,s__
Otu14002,Otu14002,k__Bacteria; p__Actinobacteria; c__Thermoleophilia; o__Solirubrobacterales,k__Bacteria,p__Actinobacteria,c__Thermoleophilia,o__Solirubrobacterales,NA,NA,NA
Otu8878,Otu8878,k__Bacteria; p__OP3; c__koll11; o__; f__; g__; s__,k__Bacteria,p__OP3,c__koll11,o__,f__,g__,s__
Otu12879,Otu12879,k__Bacteria; p__OP3; c__PBS-25; o__; f__; g__; s__,k__Bacteria,p__OP3,c__PBS-25,o__,f__,g__,s__
Otu7208,Otu7208,k__Bacteria; p__OP3; c__koll11; o__GIF10; f__kpj58rc; g__; s__,k__Bacteria,p__OP3,c__koll11,o__GIF10,f__kpj58rc,g__,s__
Otu346,Otu346,k__Bacteria; p__WS3; c__PRR-12; o__Sediment-1; f__; g__; s__,k__Bacteria,p__WS3,c__PRR-12,o__Sediment-1,f__,g__,s__
Otu17896,Otu17896,k__Bacteria; p__Planctomycetes; c__Planctomycetia; o__Gemmatales; f__Gemmataceae; g__; s__,k__Bacteria,p__Planctomycetes,c__Planctomycetia,o__Gemmatales,f__Gemmataceae,g__,s__
Otu971,Otu971,k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Nocardioidaceae; g__; s__,k__Bacteria,p__Actinobacteria,c__Actinobacteria,o__Actinomycetales,f__Nocardioidaceae,g__,s__
Otu13895,Otu13895,k__Bacteria; p__Acidobacteria; c__Solibacteres; o__Solibacterales; f__Solibacteraceae; g__Candidatus Solibacter; s__,k__Bacteria,p__Acidobacteria,c__Solibacteres,o__Solibacterales,f__Solibacteraceae,g__CandidatusSolibacter,s__
Otu17708,Otu17708,k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__MIZ46; f__; g__; s__,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__MIZ46,f__,g__,s__
Otu321,Otu321,k__Bacteria; p__WS3; c__PRR-12; o__Sediment-1; f__; g__; s__,k__Bacteria,p__WS3,c__PRR-12,o__Sediment-1,f__,g__,s__
Otu15221,Otu15221,k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Paenibacillaceae; g__Paenibacillus,k__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Paenibacillaceae,g__Paenibacillus,NA
Otu15244,Otu15244,k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Caulobacterales; f__Caulobacteraceae; g__; s__,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Caulobacterales,f__Caulobacteraceae,g__,s__
Otu11863,Otu11863,k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Legionellales; f__Coxiellaceae; g__; s__,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Legionellales,f__Coxiellaceae,g__,s__
Otu9520,Otu9520,k__Bacteria; p__TM7; c__TM7-1; o__; f__; g__; s__,k__Bacteria,p__TM7,c__TM7-1,o__,f__,g__,s__
Otu12907,Otu12907,k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Myxococcales; f__; g__; s__,k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__Myxococcales,f__,g__,s__
Otu6129,Otu6129,k__Bacteria; p__GN04; c__; o__; f__; g__; s__,k__Bacteria,p__GN04,c__,o__,f__,g__,s__
Otu5983,Otu5983,k__Bacteria; p__Cyanobacteria; c__4C0d-2; o__SM1D11; f__; g__; s__,k__Bacteria,p__Cyanobacteria,c__4C0d-2,o__SM1D11,f__,g__,s__
